2000;LOMO ATUM LA CAMPAGNOLA 170g Aceite;Fracción x6 u $3600 c/u;21600;1;1;0;NULL;NULL;NULL
2002;LOMO ATUM LA CAMPAGNOLA 170g Natural;Fracción x6 u $3600 c/u;21600;1;1;3;NULL;NULL;NULL
2004;ALFAJORES TRIPLES Águila torta;Caja X21 u $880,95 c/u;18500;1;1;6;NULL;NULL;NULL
2006;ALFAJORES TRIPLES Águila Brownie;Caja X21 u $880,95 c/u;18500;1;1;9;NULL;NULL;NULL
2008;ALFAJORES TRIPLES Águila blanco;Caja X21 u $880,95 c/u;18500;1;1;12;NULL;NULL;NULL
2010;ALFAJORES TRIPLES Águila coco;Caja X21 u $880,95 c/u;18500;1;1;15;NULL;NULL;NULL
2012;ALFAJORES TRIPLES Bon o bon;Caja X21 u $880,95 c/u;18500;1;1;18;NULL;NULL;NULL
2014;ALFAJORES TRIPLES Bagley Negro;Caja X21 u $880,95 c/u;18500;1;1;21;NULL;NULL;NULL
2016;ALFAJORES TRIPLES Bagley blanco;Caja X21 u $880,95 c/u;18500;1;1;24;NULL;NULL;NULL
2018;ALFAJORES TRIPLES Block;Caja X21 u $880,95 c/u;18500;1;1;27;NULL;NULL;NULL
2020;ALFAJORES TRIPLES Tofi blanco;Caja X21 u $880,95 c/u;18500;1;1;30;NULL;NULL;NULL
2022;ALFAJORES TRIPLES Tofi negro;Caja X21 u $880,95 c/u;18500;1;1;33;NULL;NULL;NULL
2024;ALFAJORES TRIPLES Chocotorta chocolinas;Caja X21 u $880,95 c/u;18500;1;1;36;NULL;NULL;NULL
2026;GALLETITAS BAGLEY Sonrisas;Fracción 6u $825 c/u;4950;1;1;39;NULL;NULL;NULL
2028;GALLETITAS BAGLEY Merengadas;Fracción 6u $825 c/u;4950;1;1;42;NULL;NULL;NULL
2030;GALLETITAS BAGLEY Mellizas;Fracción 6u $825 c/u;4950;1;1;45;NULL;NULL;NULL
2032;GALLETITAS BAGLEY Amor;Fracción 6u $825 c/u;4950;1;1;48;NULL;NULL;NULL
2034;GALLETITAS BAGLEY Rumba;Fracción 6u $825 c/u;4950;1;1;51;NULL;NULL;NULL
2036;SALADIX CAJA Jamón;Fracción 6u $950 c/u;5700;1;1;54;NULL;NULL;NULL
2038;SALADIX CAJA Pizza;Fracción 6u $950 c/u;5700;1;1;57;NULL;NULL;NULL
2040;SALADIX CAJA Calabresa;Fracción 6u $950 c/u;5700;1;1;60;NULL;NULL;NULL
2042;SALADIX CAJA Picante;Fracción 6u $950 c/u;5700;1;1;63;NULL;NULL;NULL
2044;GALL.BAGLEY SALVADO;Fraccion x6u $900 c/u;5400;1;1;66;NULL;NULL;NULL
2046;GALL.COFLER RELLENA  85g Vainilla;Fracción x6u $650c/u;3900;1;1;69;NULL;NULL;NULL
2048;GALL.COFLER RELLENA  85g Bon bon;Fracción x6u $650c/u;3900;1;1;72;NULL;NULL;NULL
2050;GALL.COFLER RELLENA  85g Chocolate;Fracción x6u $650c/u;3900;1;1;75;NULL;NULL;NULL
2052;GALL.SURTIDO BAGLEY;Fracción x3u 2000c/u;6000;1;1;78;NULL;NULL;NULL
2054;REX EN CAJA;Fraccion 8u $1275 c/u;10200;1;1;81;NULL;NULL;NULL
2056;KESITAS EN CAJA;Fraccion 8u $1275 c/u;10200;1;1;84;NULL;NULL;NULL
2058;REX g;BOLSA 75 $768,75c/u;12300;1;1;87;NULL;NULL;NULL
2060;KESITAS BOLSA;Fraccion 16u $768,75c/u;12300;1;1;90;NULL;NULL;NULL
2062;MANA SIMPLE Leche;Fraccion 6u $700c/u;4200;1;1;93;NULL;NULL;NULL
2064;MANA SIMPLE Vainilla;Fraccion 6u $700c/u;4200;1;1;96;NULL;NULL;NULL
2066;MANA SIMPLE Chocolatada;Fraccion 6u $700c/u;4200;1;1;99;NULL;NULL;NULL
2068;MANA SIMPLE Limon;Fraccion 6u $700c/u;4200;1;1;102;NULL;NULL;NULL
2070;MANA SIMPLE Acaramelada;Fraccion 6u $700c/u;4200;1;1;105;NULL;NULL;NULL
2072;MANA RELLENA Chocolate;Fraccion 6u $950 c/u;5700;1;1;108;NULL;NULL;NULL
2074;MANA RELLENA Limon;Fraccion 6u $950 c/u;5700;1;1;111;NULL;NULL;NULL
2076;MANA RELLENA Vainilla;Fraccion 6u $950 c/u;5700;1;1;114;NULL;NULL;NULL
2078;MANA RELLENA Frutilla;Fraccion 6u $950 c/u;5700;1;1;117;NULL;NULL;NULL
2080;OPERA 55g;Fracción 12u $550 c/u;6600;1;1;120;NULL;NULL;NULL
2082;OPERA 92g;Fracción 6u $766,66 c/u;4600;1;1;123;NULL;NULL;NULL
2084;GALL.CHOCOLINA 170grs;Fracción x6u $1050c/u;6300;1;1;126;NULL;NULL;NULL
2086;GALL.COQUITAS 170grs;Fracción x 6 u $1050 c/u;6300;1;1;129;NULL;NULL;NULL
2088;GALL.MELITA 159grs;Fracción x6u $800c/u;4800;1;1;132;NULL;NULL;NULL
2090;GALL.PORTENITAS 139grs;Fracción x6u $800c/u;4800;1;1;135;NULL;NULL;NULL
2092;GALL.CRIOLLITAS 100g;Fracción 12u $375 c/u;4500;1;1;138;NULL;NULL;NULL
2094;GALL.TRAVIATA 108g;Fracción x12u $450c/u;5400;1;1;141;NULL;NULL;NULL
2096;CARAM.  RELLENO MIEL 675g;Bolsa 135u;5500;1;1;144;NULL;NULL;NULL
2098;CARAM.  RELLENO MIEL Y MENTA 405g;Bolsa 67u;2750;1;1;147;NULL;NULL;NULL
2100;CARAM.GAJITOS FRUTALES 485g;;2900;1;1;150;NULL;NULL;NULL
2102;CARAM.BUTER’CREAM 675g;;6900;1;1;153;NULL;NULL;NULL
2104;CARAM. MENTA CRISTAL;Bolsa 180u;7300;1;1;156;NULL;NULL;NULL
2106;CHUP. EVOLUTION Rojo;Bolsa 24u;3400;1;1;159;NULL;NULL;NULL
2108;CHUP. EVOLUTION Azul;Bolsa 24u;3400;1;1;162;NULL;NULL;NULL
2110;CARA.BUT.TOFFES Dulce leche;137u;6600;1;1;165;NULL;NULL;NULL
2112;CARA.BUT.TOFFES Leche;137u;6600;1;1;168;NULL;NULL;NULL
2114;CARA.BUT.TOFFES Blanco;137u;6600;1;1;171;NULL;NULL;NULL
2116;CARA.BUT.TOFFES Chocolate;137u;6600;1;1;174;NULL;NULL;NULL
2118;CARAM.SAQUITOS RELLENOS FRUTA;;5500;1;1;177;NULL;NULL;NULL
2120;GOMITAS 30G Ositos;Display 12u $366,66  c/u;4400;1;1;180;NULL;NULL;NULL
2122;GOMITAS 30G Cerebrito;Display 12u $366,66  c/u;4400;1;1;183;NULL;NULL;NULL
2124;GOMITAS 30G Piecito;Display 12u $366,66  c/u;4400;1;1;186;NULL;NULL;NULL
2126;GOMITAS 30G Tiburón;Display 12u $366,66  c/u;4400;1;1;189;NULL;NULL;NULL
2128;GOMITAS 30G Cola;Display 12u $366,66  c/u;4400;1;1;192;NULL;NULL;NULL
2130;GOMITAS 30G Bananitas;Display 12u $366,66  c/u;4400;1;1;195;NULL;NULL;NULL
2132;GOMITAS 50G Sandía;Display 10u $590 c/u;5900;1;1;198;NULL;NULL;NULL
2134;GOMITAS 50G Osito;Display 10u $590 c/u;5900;1;1;201;NULL;NULL;NULL
2136;GOMITAS 50G Extreme rocks;Display 10u $590 c/u;5900;1;1;204;NULL;NULL;NULL
2138;GOMITAS 50G Moras;Display 10u $590 c/u;5900;1;1;207;NULL;NULL;NULL
2140;GOMITAS 50G Dientes;Display 10u $590 c/u;5900;1;1;210;NULL;NULL;NULL
2142;GOMITAS 50G Jelly beens;Display 10u $590 c/u;5900;1;1;213;NULL;NULL;NULL
2144;GOMITAS 50G Eucalipto;Display 10u $590 c/u;5900;1;1;216;NULL;NULL;NULL
2146;GOMITAS 80G Anillos;Fracción x6u $983,33c/u;5900;1;1;219;NULL;NULL;NULL
2148;GOMITAS 80G Conitos;Fracción x6u $983,33c/u;5900;1;1;222;NULL;NULL;NULL
2150;GOMITAS 80G Moras;Fracción x6u $983,33c/u;5900;1;1;225;NULL;NULL;NULL
2152;GOMITAS 80G Dientes;Fracción x6u $983,33c/u;5900;1;1;228;NULL;NULL;NULL
2154;GOMITAS 80G Jelly beens;Fracción x6u $983,33c/u;5900;1;1;231;NULL;NULL;NULL
2156;GOMITAS 80G Eucaliptus;Fracción x6u $983,33c/u;5900;1;1;234;NULL;NULL;NULL
2158;GOMITAS 80G Jelly buton;Fracción x6u $983,33c/u;5900;1;1;237;NULL;NULL;NULL
2160;ROLLO MOGUL Frutales;Display 12u $333,33 c/u;4000;1;1;240;NULL;NULL;NULL
2162;ROLLO MOGUL Ácidos;Display 12u $333,33 c/u;4000;1;1;243;NULL;NULL;NULL
2164;GOMITAS MOGUL 500g Moras;Fraccion x3u $4350c/u;13050;1;1;246;NULL;NULL;NULL
2166;GOMITAS MOGUL 500g Dientes;Fraccion x3u $4350c/u;13050;1;1;249;NULL;NULL;NULL
2168;GOMITAS MOGUL 500g Oso extreme;Fraccion x3u $4350c/u;13050;1;1;252;NULL;NULL;NULL
2170;GOMITAS MOGUL 500g Cola;Fraccion x3u $4350c/u;13050;1;1;255;NULL;NULL;NULL
2172;MENTHOPLUS CLASICO Miel;Display 12u $358,33 c/u;4300;1;1;258;NULL;NULL;NULL
2174;MENTHOPLUS CLASICO Strong;Display 12u $358,33 c/u;4300;1;1;261;NULL;NULL;NULL
