59410;NOVEDAD CARTAS DEL MUNDIAL FIFA;Display x24u $2541,66 c/u;61000
59412;CHIC.BUBBLE TAPE TUTTI;Fraccion x6 u $3366,66c/u;20200
59414;MYM 49,3g Marron;Fraccion x6u $2400c/u;14400
59416;MYM 49,3g Amarillo;Fraccion x6u $2400c/u;14400
59418;CONF.SKITTLES 61,5g Rojo;Fraccion x6u $2400c/u;14400
59420;CONF.SKITTLES 61,5g Violeta;Fraccion x6u $2400c/u;14400
59422;HUEVO KINDER Nena;Display x12u $2050 c/u;24600
59424;HUEVO KINDER Nene;Display x12u $2050 c/u;24600
59426;ROLLO MOGUL Acidos;Display 12u $333,33 c/u;4260
59428;GALL. MELBA;FRACCION X 6u $ 916,66c/u;5500
59430;GALLETITAS OREO;Fraccion 12u $1325c/u;15900
59432;GALL.CEREALITAS;Fraccion x 12u $1158,33 c/u;13900
59434;GALLETITAS PEPITOS;Fraccion 12u $1208,33c/u;14500
59436;GALL.DUQUESA;Fraccion x6u $850c/u;5100
59438;GALL.CLUB SOCIAL Clasicas;x6U $1900c/u;11400
59440;MINI OREO;Fraccion x6 $650 c/u;3900
59442;MINI PEPITOS;Fraccion x6 $650 c/u;3900
59444;GALL.OREO BANADAS CHOCOLATE Negras;Fraccion 3u $3266,66c/u;9800
59446;GALL.OREO BANADAS CHOCOLATE Blancas;Fraccion 3u $3266,66c/u;9800
59448;SHOT 35gr Negro;Display 25u $1252c/u;31300
59450;SHOT 90gr;fraccion x6 $2900 c/u;17400
59452;SHOT 170g;Fraccion x3u $5166,66c/u;15500
59454;TAB MILKA DCE LECHE 29gr Negro;Fraccion x 12u $1200c/u;14400
59456;TAB MILKA DCE LECHE 29gr Blanco;Fraccion x 12u $1200c/u;14400
59458;CHO. MILKA 20gr Leche;Display x20u $735c/u;14700
59460;CHO. MILKA 20gr Oreo;Display x20u $735c/u;14700
59462;MILKA MACIZO 55G Leche;Fraccion 7u $2714,85 c/u;19000
59464;MILKA MACIZO 55G Almendras;Fraccion 7u $2714,85 c/u;19000
59466;MILKA MACIZO 55G Blanco;Fraccion 7u $2714,85 c/u;19000
59468;MILKA MACIZO 55G Oreo blanco;Fraccion 7u $2714,85 c/u;19000
59470;MILKA MACIZO 55G Castana caramelo;Fraccion 7u $2714,85 c/u;19000
59472;CHOC.MILKA MACIZO 155g Almendras;x3u $6200c/u;18600
59474;CHOC.MILKA MACIZO 155g Oreo;x3u $6200c/u;18600
59476;CHOC.MILKA MACIZO 155g Leche;x3u $6200c/u;18600
59478;CHOC.MILKA MACIZO 155g Castana de caju;x3u $6200c/u;18600
59480;MILKA LEGER 50gr Leche;Fraccion x 7u $2600c/u;18200
59482;MILKA LEGER 50gr Almendra;Fraccion x 7u $2600c/u;18200
59484;MILKA LEGER 50gr Combinado;Fraccion x 7u $2600c/u;18200
59486;MILKA LEGER 110gr Leche;Fraccion x 3u $5200c/u;15600
59488;MILKA LEGER 110gr Almendra;Fraccion x 3u $5200c/u;15600
59490;MILKA LEGER 110gr Combinado;Fraccion x 3u $5200c/u;15600
59492;CADBURY 162g Frutilla;Fraccion x3u $7333,33c/u;22000
59494;CADBURY 162g Intense;Fraccion x3u $7333,33c/u;22000
59496;CADBURY 80G Almendras;Fraccion x6u $3950c/u;23700
59498;CADBURY 80G Yogur frutilla;Fraccion x6u $3950c/u;23700
59500;CADBURY 80G Tres suenos;Fraccion x6u $3950c/u;23700
59502;CADBURY 25/29g Frutilla;Display x12u $1550c/u;18600
59504;CADBURY 25/29g 3 suenos;Display x12u $1550c/u;18600
59506;CADBURY 25/29g Intense;Display x12u $1550c/u;18600
59508;NUEVO BOMBONES REGALERIA MILKA COM FRASES?????? Crema y avellana;Display x20u $4900c/u;4900
59510;NUEVO BOMBONES REGALERIA MILKA COM FRASES?????? Crema vainilla;Display x20u $4900c/u;4900
